name,protein,carbs,fat
Chicken Breast,31,0,3
Brown Rice,5,45,2
Salmon,25,0,13
Quinoa,8,39,4
Eggs,13,1,11
Tofu,10,2,6
Almonds,21,22,49
Broccoli,3,7,0
Greek Yogurt,10,4,0
Apple,0,25,0
Oats,13,67,7
Ground Beef,26,0,20
Sweet Potato,2,27,0
Lentils,9,20,0
Peanut Butter,25,20,50
Spinach,3,4,0
Cottage Cheese,11,3,4
Banana,1,27,0
Pinto Beans,9,23,1
Chia Seeds,17,42,31
Whey Protein,24,2,1
Turkey Breast,29,0,1
Whole Wheat Bread,5,20,2
Avocado,2,12,21
Shrimp,24,0,1
Carrots,1,10,0
Edamame,11,9,5
Milk,8,12,5
Cheddar Cheese,25,1,33
Pumpkin Seeds,30,11,49
Zucchini,1,4,0
Barley,4,44,1
Cashews,18,30,44
Kale,3,7,1
Cucumber,1,4,0
Lamb,25,0,21
White Rice,4,45,0
Peas,5,14,0
Tuna,29,0,1
Mushrooms,3,3,0
Cabbage,1,6,0
Cranberries,0,25,0
Pork Chop,26,0,20
Sunflower Seeds,21,20,51
Oranges,1,15,0
Beef Jerky,33,10,20
Raspberries,1,14,1
Cantaloupe,1,13,0
Blueberries,1,14,0
Coconut,3,15,33
Brussels Sprouts,3,8,0
Beets,2,13,0
Soy Milk,6,4,4
Rice Cakes,1,14,0
Pears,1,15,0
Yogurt,5,7,3
Tempeh,19,9,11
Grapes,1,17,0
Strawberries,1,8,0
Celery,1,3,0
Walnuts,15,14,65
Flax Seeds,18,29,42
Hemp Seeds,33,9,49
Turkey Sausage,22,2,17
Cottage Cheese (Low-fat),12,3,2
Tilapia,26,0,2
Protein Bar,20,24,7
Mango,1,25,0
Nuts Mix,20,24,50
Artichoke,4,14,0
Okra,2,7,0
Radish,1,4,0
Ginger Root,2,18,1
Leeks,1,14,0
Green Beans,2,7,0
Black Beans,9,23,1
Kidney Beans,8,22,1
Hazelnuts,15,17,61
Macadamia Nuts,8,14,76
Chestnuts,2,45,1
Bulgur,4,34,1
Farro,6,37,1
Chickpeas,9,27,3
Navy Beans,8,24,1
Couscous,6,36,1
Clams,25,5,2
Scallops,20,5,1
Crab,19,0,1
Lobster,19,0,1
Duck Breast,27,0,14
Venison,30,0,3
Ostrich,29,0,3
Bison,28,0,7
Duck Eggs,13,1,14
Quail Eggs,13,1,11
Goat Cheese,22,1,21
Feta Cheese,14,4,21
Ricotta Cheese,11,3,10
Pine Nuts,14,13,68
Poppy Seeds,18,28,42
Tahini,17,23,53
Seitan,25,9,2
Cottage Ham,20,1,15
Acorn Squash,1,15,0
